Scan ID,Center Coord,E1,x_1,y_1,sigma_1,E2,x_2,y_2,sigma_2,E3,x_3,y_3,sigma_3,E4,x_4,y_4,sigma_4,E5,x_5,y_5,sigma_5,E6,x_6,y_6,sigma_6,E7,x_7,y_7,sigma_7,E8,x_8,y_8,sigma_8,E9,x_9,y_9,sigma_9,E10,x_10,y_10,sigma_10,E11,x_11,y_11,sigma_11,E12,x_12,y_12,sigma_12
ID03,"(718, 402)",1,-1,-1,-1,2,-1,-1,-1,3,-1,-1,-1,4,886,416,503.4,5,747,536,430.37,6,628,526,382.19,7,595,359,308.89,8,655,268,263.34,9,767,256,219.61,10,857,315,180.2,11,831,507,105.26,12,528,520,0.0
ID04,"(398, 415)",1,-1,-1,-1,2,-1,-1,-1,3,-1,-1,-1,4,-1,-1,-1,5,302,428,494.94,6,382,487,425.18,7,503,458,344.92,8,392,270,230.28,9,272,344,172.05,10,364,560,65.85,11,486,570,23.06,12,588,560,0.0
ID05,"(487, 331)",1,-1,-1,-1,2,-1,-1,-1,3,-1,-1,-1,4,-1,-1,-1,5,-1,-1,-1,6,-1,-1,-1,7,447,248,178.2,8,369,269,141.65,9,330,341,110.29,10,363,440,72.61,11,474,500,28.33,12,562,500,0.0
ID06,"(390, 365)",1,-1,-1,-1,2,-1,-1,-1,3,-1,-1,-1,4,-1,-1,-1,5,459,421,364.21,6,453,316,287.28,7,359,252,219.81,8,250,269,179.59,9,185,349,149.61,10,213,458,117.43,11,520,523,15.7,12,614,521,0.0
ID07,"(463, 385)",1,-1,-1,-1,2,-1,-1,-1,3,-1,-1,-1,4,-1,-1,-1,5,-1,-1,-1,6,-1,-1,-1,7,-1,-1,-1,8,-1,-1,-1,9,534,346,297.46,10,478,280,244.37,11,397,258,208.78,12,650,510,0.0
ID14,"(551, 306)",1,-1,-1,-1,2,-1,-1,-1,3,-1,-1,-1,4,612,228,601.85,5,604,410,356.82,6,682,347,311.2,7,666,240,263.97,8,576,180,215.04,9,409,316,109.79,10,436,418,69.58,11,534,490,29.1,12,649,528,0.0
ID15,"(492, 325)",1,-1,-1,-1,2,-1,-1,-1,3,-1,-1,-1,4,-1,-1,-1,5,-1,-1,-1,6,-1,-1,-1,7,546,216,251.18,8,450,171,209.57,9,357,209,175.5,10,319,312,139.13,11,348,414,103.11,12,665,499,0.0
ID17,"(471, 351)",1,-1,-1,-1,2,-1,-1,-1,3,-1,-1,-1,4,-1,-1,-1,5,-1,-1,-1,6,-1,-1,-1,7,-1,-1,-1,8,-1,-1,-1,9,542,240,261.01,10,448,179,220.79,11,335,202,186.02,12,640,501,0.0
ID18,"(498, 375)",1,-1,-1,-1,2,-1,-1,-1,3,-1,-1,-1,4,-1,-1,-1,5,570,432,364.98,6,612,322,301.68,7,534,236,251.13,8,414,228,206.87,9,325,306,168.35,10,311,426,131.35,11,610,520,18.93,12,721,522,0.0
ID37,"(431, 369)",1,-1,-1,-1,2,-1,-1,-1,3,-1,-1,-1,4,-1,-1,-1,5,-1,-1,-1,6,362,317,545.41,7,520,382,336.72,8,519,292,287.22,9,449,236,246.12,10,344,258,200.32,11,572,498,10.87,12,670,516,0.0
ID38,"(491, 366)",1,-1,-1,-1,2,-1,-1,-1,3,439,272,545.1,4,343,284,513.04,5,375,494,436.23,6,620,412,323.68,7,644,297,279.78,8,558,208,237.03,9,437,203,195.72,10,318,397,113.89,11,490,546,34.37,12,616,551,0.0
ID55,"(387, 412)",1,-1,-1,-1,2,-1,-1,-1,3,288,411,492.8,4,332,490,437.41,5,450,486,361.81,6,490,390,300.16,7,413,296,234.85,8,294,302,182.01,9,222,387,140.84,10,228,505,101.9,11,302,578,69.33,12,534,574,0.0
